timestamp,elapsed_s,label,confidence,yaw,pitch,roll,ear,alert_fired
1782286807.102,0.308,distracted_right,0.99,62.03,162.41,167.3,0.304,0
1782286807.153,0.36,distracted_left,0.99,-72.53,143.82,1.31,0.306,0
1782286807.165,0.371,distracted_up,0.99,-0.03,-169.25,2.17,0.324,0
1782286807.191,0.397,distracted_up,0.99,-0.03,-169.28,-1.85,0.353,0
1782286807.224,0.43,distracted_up,0.99,-0.04,-169.28,-6.76,0.327,0
1782286807.271,0.477,distracted_up,0.99,-0.04,-169.28,1.15,0.326,0
1782286807.304,0.51,distracted_left,0.99,-72.75,145.07,3.92,0.348,0
1782286807.335,0.541,distracted_right,0.99,66.01,163.5,167.55,0.305,0
1782286807.367,0.574,distracted_left,0.99,-66.46,-113.76,-35.46,0.384,0
1782286807.399,0.606,distracted_left,0.99,-72.91,143.88,1.77,0.332,0
1782286807.434,0.641,distracted_right,0.99,80.68,32.51,42.59,0.379,0
1782286807.467,0.673,distracted_left,0.99,-72.9,143.67,2.5,0.362,0
1782286807.498,0.704,distracted_right,0.99,82.43,-92.15,-168.71,0.323,0
1782286807.528,0.735,distracted_right,0.99,66.22,170.06,172.5,0.358,0
1782286807.561,0.767,distracted_up,0.99,-0.04,-169.29,9.8,0.355,0
1782286807.591,0.798,distracted_left,0.99,-72.74,143.8,6.21,0.438,0
1782286807.623,0.83,attentive,0.99,-0.24,-0.03,-0.08,0.443,0
1782286807.671,0.877,distracted_right,0.897,44.84,163.33,-13.61,0.393,0
1782286807.705,0.911,distracted_left,0.99,-72.72,142.99,9.49,0.447,0
1782286807.736,0.942,distracted_up,0.99,-0.03,-169.28,12.98,0.405,0
1782286807.769,0.975,distracted_left,0.99,-70.97,139.31,57.15,0.415,0
1782286807.8,1.006,distracted_right,0.89,44.48,167.2,-10.37,0.362,0
1782286807.832,1.038,distracted_up,0.99,-0.03,-169.27,3.36,0.295,0
1782286807.862,1.069,distracted_left,0.99,-71.9,142.53,22.18,0.243,0
1782286807.894,1.101,distracted_right,0.99,49.48,173.98,175.14,0.26,0
1782286807.927,1.133,distracted_right,0.569,28.43,168.04,-8.43,0.255,0
1782286807.959,1.165,distracted_down,0.99,23.52,169.03,-7.67,0.258,0
1782286807.991,1.197,distracted_down,0.99,18.48,169.35,-6.33,0.253,0
1782286808.023,1.229,distracted_down,0.99,14.93,169.94,-5.97,0.261,0
1782286808.069,1.276,distracted_down,0.99,9.15,169.45,-4.86,0.251,0
1782286808.102,1.309,distracted_down,0.99,3.85,170.58,-3.97,0.249,0
1782286808.134,1.341,distracted_down,0.99,-1.18,170.87,-2.97,0.237,0
1782286808.17,1.376,distracted_down,0.99,-4.86,171.02,-2.15,0.241,0
1782286808.2,1.406,distracted_down,0.99,-5.14,171.73,-1.94,0.239,0
1782286808.231,1.437,distracted_down,0.99,-6.04,172.47,-1.54,0.232,0
1782286808.263,1.469,distracted_down,0.99,-8.81,173.23,-0.86,0.248,0
1782286808.295,1.502,distracted_down,0.99,-11.12,172.68,-0.49,0.246,0
1782286808.327,1.534,distracted_down,0.99,-14.94,174.35,-0.66,0.239,0
1782286808.36,1.566,distracted_down,0.99,-11.68,173.95,-0.58,0.238,0
1782286808.392,1.599,distracted_down,0.99,-11.73,174.48,-0.32,0.239,0
1782286808.422,1.629,distracted_down,0.99,-13.17,174.75,-0.09,0.238,0
1782286808.454,1.661,distracted_down,0.99,-13.73,175.24,-0.08,0.246,0
1782286808.502,1.708,distracted_down,0.99,-14.45,174.87,0.25,0.254,0
1782286808.535,1.741,distracted_down,0.99,-15.89,174.36,0.59,0.258,0
1782286808.566,1.772,distracted_down,0.99,-16.12,174.12,0.52,0.261,0
1782286808.6,1.806,distracted_down,0.99,-16.45,174.1,0.57,0.25,0
1782286808.631,1.837,distracted_down,0.99,-16.62,174.47,0.53,0.258,0
1782286808.662,1.868,distracted_down,0.99,-17.53,175.19,0.23,0.251,0
1782286808.695,1.901,distracted_down,0.99,-17.34,174.19,0.18,0.26,0
1782286808.728,1.934,distracted_down,0.99,-18.31,174.03,0.18,0.264,0
1782286808.759,1.965,distracted_down,0.99,-17.35,173.31,0.22,0.256,0
1782286808.791,1.997,distracted_down,0.99,-15.62,173.46,-0.23,0.247,0
